"SubscriptionName","SubscriptionId","TenantId","State","SubscriptionPolicies","Tags"
"CIMS Azure Dev Playground Hybrid Internal","dc08dbd9-6948-4f54-97ad-84ce7e0ad7f6","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CJE-MCP-17759","39a7e6d3-1859-49c3-b091-b22ff98b6aa2","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"ClientMonitoringPOC","dccc24b6-135c-4614-a303-98879e1bf5dd","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Cloud application security MSDN DevTest","7491379a-6498-4ca7-84b1-63e9a7fd6b66","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Cloud Brokers - ASC Testing","b185e97a-6aaf-400d-a0a3-f4e03ca4aa60","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Cloud Brokers - Testing IGBN","d3aeabbc-0d15-4a93-8b85-7bfba3999829","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Cloud Native","33bde97e-b22f-4a54-9c24-7bb643064a58","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Cloud Solution Engineering","e841dbc6-1038-468c-a42a-c665029117dc","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"cloudbroker-infosec","3559f006-51ca-4672-a115-77bb9e6133ec","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CNB","34c30d1a-08ec-4a19-aabb-da5ec280a26d","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","MSDNDevTest_2014-09-01","None"
"Co-Design for MPE","95e5081d-159c-4fbf-b124-ff37b8db2ec1","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
